-- Localized text for The Penwick Papers mod

-- Text values are literals and should be wrapped in quotes ""
schema: *key,$text

-- Mod Settings localization
Settings.Features.Name, "Features"
Settings.Features.EnhancedInfo.Name, "Enhanced Info"
Settings.Features.EnhancedInfo.Description, "Show extra information by clicking a creature or NPC while in 'Info' mode"
Settings.Features.Herbalism.Name, "Herbalism"
Settings.Features.Herbalism.Description, "Create herbal remedies by crouching and clicking on ground while in 'Grab' mode"
Settings.Features.Trapping.Name, "Trapping"
Settings.Features.Trapping.Description, "Create traps by crouching and clicking on ground while in 'Steal' mode"
Settings.Features.DirtyTricks-Blinding.Name, "Dirty Tricks - Blinding"
Settings.Features.DirtyTricks-Blinding.Description, "Blind enemy by clicking a facing enemy while in 'Steal' mode;\r...some enemies can blind the player"
Settings.Features.DirtyTricks-Chock.Name, "Dirty Tricks - Door Chock"
Settings.Features.DirtyTricks-Chock.Description, "Chock door by clicking on inward opening door while in 'Steal' mode"
Settings.Features.DirtyTricks-Diversion.Name, "Dirty Tricks - Diversion"
Settings.Features.DirtyTricks-Diversion.Description, "Create diversion by clicking on distant floor/wall while in 'Steal' mode"
Settings.Features.DirtyTricks-TheBoot.Name, "Dirty Tricks - The Boot"
Settings.Features.DirtyTricks-TheBoot.Description, "Give The Boot by clicking on an enemy while in 'Grab' mode"
Settings.Features.DirtyTricks-Peep.Name, "Dirty Tricks - Door Peep"
Settings.Features.DirtyTricks-Peep.Description, "Peep through small hole by clicking a nearby door while in 'Info' mode;\r...peep under door if crouching"
Settings.Features.Mouse3.Name, "Mouse Button 3 Quick Action"
Settings.Features.Mouse3.Description, "Select one-shot action for mouse button 3"
Settings.Features.Mouse4.Name, "Mouse Button 4 Quick Action"
Settings.Features.Mouse4.Description, "Select one-shot action for mouse button 4"

Settings.Options.Name, "Options"
Settings.Options.TeleportMinions.Name, "Teleport Minions"
Settings.Options.TeleportMinions.Description, "Automatically teleport minions (atronachs/undead) to your location if they fall too far behind"
Settings.Options.MinionSoundVolume.Name, "Minion Sound Volume"
Settings.Options.MinionSoundVolume.Description, "Adjusts the loudness of sounds made by summoned minions"
Settings.Options.StartGameWithPotionOfSeeking.Name, "Start Games With Potion Of Seeking"
Settings.Options.StartGameWithPotionOfSeeking.Description, "Start new games with Potion Of Seeking and its recipe in your inventory"
Settings.Options.LootAdjustment.Name, "Loot Addition"
Settings.Options.LootAdjustment.Description, "Adds appropriate items to the inventories of certain enemies"

Settings.Space1.Name, "."
Settings.Space2.Name, "."
Settings.Space3.Name, "."
Settings.Space4.Name, "."
Settings.Space5.Name, "."
Settings.Space6.Name, "."

Settings.Advancement.Name, "Advancement"
Settings.Advancement.GoverningAttributes.Name, "Governing Attributes"
Settings.Advancement.GoverningAttributes.Description, "Implements governing attributes for skills as implied in game documentation;\ralters skill advancement rate"
Settings.Advancement.SkillPerLevel.Name, "Skill Per Level"
Settings.Advancement.SkillPerLevel.Description, "Amount of skill gain needed to raise level if Governing Attributes is enabled."


-- General
DisturbanceInFabricOfReality, "There was a brief disturbance in the fabric of reality."
Following, "Following..."
NotFollowing, "Staying..."
NotEnoughWillpower, "You lack the Willpower to command another minion"
NowIsNotTheTime, "This is not the time for that."
YouAreParalyzed, "You are currently paralyzed."
NotWhileSubmerged, "You are currently submerged."
MinionEquipsItem, "{0} equips {1}"
MinionTakesItem, "{0} takes {1}"
MinionGoesRenegade, "{0} minion has gone renegade!"

-- Encumbrance
WeaponWeight, "Weapons:"
ArmorWeight, "Armor:"
IngredientWeight, "Ingredients:"
OtherWeight, "Other:"
GoldWeight, "Gold:"

--	Landmark Journal, LandmarkJournalItem
LandmarkJournal, "Landmark Journal"
NotInDungeonOrTown, "The Landmark Journal can only be used in town exteriors and dungeon labyrinths."
EnemiesNear, "Can't navigate while enemies are near."
NotGrounded, "You must be on solid ground to navigate."
TooTired, "You are too fatigued to travel."
YouAreEncumbered, "You are too encumbered to travel."
TeleportersNearby, "You've temporarily lost your bearings...maybe it's the magic of this place."

-- Landmark Journal, LandmarkJournalPopupWindow
TravelButtonText, "Travel to..."
RememberButtonText, "Remember this spot"
ForgetButtonText, "Forget this spot"
ExitButtonText, "Exit"
LandmarkName, "Landmark name:"

-- Landmark Journal, LandmarkJournalListPickerWindow
ItemGem, "gem"
ItemJewellery, "bit of jewellery"
ItemDrug, "dose of some drug"
ItemPotion, "potion"
ItemGold, "handful of gold"
ItemBook, "book"
ItemPocketLint, "handful of pocket lint"
InhaledSpores, "You inhaled a disturbance of spores during passage.  It's probably nothing."
Thugs, "You have attracted the attention of the denizens of the night."
AmbushAverted, "Your keen hearing alerts you to a potential ambush in a dark side-alley\n...you circumvent it."
EncounteredPlagueVictim, "Winding your way through the streets, you encounter an ailing native."
PasserbyAvoidsPlagueVictim, "A passerby mumbles something about 'plague' and hastily diverts course."
CutpurseSucceeds, "You struck a conversation with a bystander\n...only later finding your purse a bit lighter."
CutpurseFails, "You thwarted a cutpurse's larcenous ambitions."
LostGoldButSnatchedItem, "You may have lost some gold, but were able to snatch a {0}!"
NabbedItem, "Easy pickings...you managed to nab a {0}!"
SimultaneousPickpocket, "You encountered a cutpurse at a busy junction;\nAs they rifled through your pockets, you rummaged through theirs."
LostInCityDay, "You are bewildered by the sights and sounds of city life\n...and have an dreadful sense of direction."
LostInCityNight, "In the ink of night this place seems a labyrinth."
LostInSmallTownDay, "Seriously...how can someone get so lost in a town so small?"
LostInSmallTownNight, "Are you there yet?  Nope...another tree.\nMaybe over there..."
LostInDark, "You lose your way more than once in the dusky alleys, but blunder to your goal."

--Create Atronach
CreateAtronachGroupName, "Create Atronach"
CreateAtronachDisplayName, "Create {0} Atronach"
CreateAtronachEffectDescription, "Creates a {0} Atronach; requires {1}."
CreateAtronachDuration, "Duration: Permanent"
CreateAtronachSpellMakerChance, "Chance: Determines if monstrosity can be controlled"
CreateAtronachSpellMakerMagnitude, "Magnitude: Atronach toughness"
CreateAtronachSpellBookChance1, "Chance: Determines if allied to creator; %bch + %ach per %clc level(s);"
CreateAtronachSpellBookChance2, "modified by Willpower"
CreateAtronachSpellBookMagnitude, "Magnitude: Atronach toughness; %1bm - %2bm + %1am - %2am per %clm level(s)"
MissingComponent, "You need {0} to create a {1} Atronach."
CantCreateFireAtronachSubmerged, "A Fire Atronach? While submerged? Forfeit your Wizard staff..."


--Reanimate
ReanimateGroupName, "Reanimate"
ReanimateEffectDescription1, "Animates a human corpse."
ReanimateEffectDescription2, "(Warning: The Divines deplore this magic)"
ReanimateDuration, "Duration: Permanent"
ReanimateSpellMakerChance, "Chance: Determines if the monstrosity can be controlled"
ReanimateSpellBookChance1, "Chance: Determines if allied to creator; %bch + %ach per %clc level(s);"
ReanimateSpellBookChance2, "modified by Willpower and soul type"
ReanimateMagnitude, "Magnitude: N/A (Toughness is determined by the soul harnessed)"
MissingHolyDagger, "You need a sharp {0} to perform the ritual."
MissingSoulTrap, "You need a filled {0} to perform the ritual."
NoViableVesselNearby, "There is no suitable vessel nearby."


--Scour
ScourGroupName, "Scour"
ScourEffectDescription, "Removes the sinful flesh from human corpses."
ScourDuration, "Duration: Swift"


--Illusory Decoy
IllusoryDecoyGroupName, "Illusory Decoy"
IllusoryDecoyEffectDescription1, "Creates a phantasmal decoy to distract enemies."
IllusoryDecoyEffectDescription2, "Decoy form depends on highest language skills."
IllusoryDecoyEffectDescription3, "High caster Personality allows for a more alluring decoy."
IllusoryDecoyDuration, "Duration: Rounds the illusion potentially lasts."
IllusoryDecoySpellMakerChance, "Chance: Creation certain; a language check is needed each round."
IllusoryDecoySpellMakerMagnitude, "Magnitude: How well the decoy dodges attacks."
IllusoryDecoySpellBookDuration, "Duration: Potentially lasts %bdr + %adr per %cld level(s)"
IllusoryDecoySpellBookChance1, "Chance: Creation certain;"
IllusoryDecoySpellBookChance2, "a language check is needed each round to maintain the illusion;"
IllusoryDecoySpellBookChance3, "modified by Willpower and Personality bonuses"
IllusoryDecoySpellBookMagnitude, "Magnitude: Determines evasiveness; %1bm - %2bm + %1am - %2am per %clm level(s)"
LackSkillToMaintain, "You lack the {0} skill needed to maintain a convincing illusion."
LostConcentration, "Readying another spell caused you to lose your concentration on the illusion."


--Draught Of Seeking
SeekingPotionName, "Seeking"
AlreadyHaveItem, "You already possess the {0}"
ItemInWagon, "You left the {0} in your wagon"
AlreadySpokenToPerson, "You have already spoken to {0}"
AlreadyDealtWithFoe, "You have already dealt with the {0}"


--Blind
BlindGroupName, "Blind"
BlindEffectDescription, "Blinds the victim - some targets are immune"
BlindSpellMakerDuration, "Duration: Rounds the blindness lasts"
BlindSpellBookDuration, "Duration: Lasts %bdr + %adr per %cld level(s)"
Blinded, "Blinded"


--WindWalk
WindWalkGroupName, "Wind Walk"
WindWalkEffectDescription, "Walk The Winds"
WindWalkSpellMakerDuration, "Duration: Rounds the Wind Walk lasts"
WindWalkSpellMakerMagnitude, "Magnitude: Maximum flight speed"
WindWalkSpellBookDuration, "Duration: Lasts %bdr + %adr per %cld level(s)"
WindWalkSpellBookMagnitude, "Magnitude: Flight speed is %1bm - %2bm + %1am - %2am per %clm level(s)"
MustBeOutside, "Must be outside..."


--Trapping
TrapsUnknown, "You lack the {0} skill needed to set traps."
TrappingInterrupted, "Trapping interrupted."
TrapIngredientsNotInInventory, "You are missing required trap ingredients."
Snaring, "Snaring"
Venomous, "Venomous"
Paralyzing, "Paralyzing"
FlamingBomb, "Flaming Wroth"


--Dirty Tricks
NotEnoughLockpickingSkill, "You don't have enough {0} skill to chock the door..."
NoFreeHand, "...no free hand"
OutOfPebbles, "...out of pebbles"
DoorChocked, "Door chocked..."
DoorUnchocked, "Door unchocked..."


--Herbalism
MortarAndPestle, "Mortar & Pestle"
MortarAndPestleUsage, "To use herbalism:\n-equip the mortar & pestle\n-crouch and Grab the ground or non-hostile creature"
HerbalismUnknown, "You lack the {0} skill needed to create herbal remedies."
HerbalismInterrupted, "Remedy preparation interrupted."
RemedyIngredientsNotInInventory, "You are missing required ingredients."
NotNecessary, "That isn't necessary."
PatientSuffersFromPoisoning, "The patient suffers from {0} poisoning."
YouSufferFromPoisoning, "You suffer from {0} poisoning."
PoisonCompletelyNeutralized, "Poison completely neutralized..."
PoisonPartiallyNeutralized, "Poison partially neutralized...but lingers yet..."
